date,World
2020/1/5,3
2020/1/6,0
2020/1/7,0
2020/1/8,0
2020/1/9,0
2020/1/10,0
2020/1/11,0
2020/1/12,1
2020/1/13,0
2020/1/14,0
2020/1/15,0
2020/1/16,0
2020/1/17,0
2020/1/18,0
2020/1/19,2
2020/1/20,0
2020/1/21,0
2020/1/22,0
2020/1/23,0
2020/1/24,0
2020/1/25,0
2020/1/26,56
2020/1/27,0
2020/1/28,0
2020/1/29,0
2020/1/30,0
2020/1/31,0
2020/2/1,0
2020/2/2,310
2020/2/3,0
2020/2/4,0
2020/2/5,0
2020/2/6,0
2020/2/7,0
2020/2/8,0
2020/2/9,545
2020/2/10,0
2020/2/11,0
2020/2/12,0
2020/2/13,0
2020/2/14,0
2020/2/15,0
2020/2/16,864
2020/2/17,0
2020/2/18,0
2020/2/19,0
2020/2/20,0
2020/2/21,0
2020/2/22,0
2020/2/23,690
2020/2/24,0
2020/2/25,0
2020/2/26,0
2020/2/27,0
2020/2/28,0
2020/2/29,0
2020/3/1,515
2020/3/2,0
2020/3/3,0
2020/3/4,0
2020/3/5,0
2020/3/6,0
2020/3/7,0
2020/3/8,649
2020/3/9,0
2020/3/10,0
2020/3/11,0
2020/3/12,0
2020/3/13,0
2020/3/14,0
2020/3/15,2654
2020/3/16,0
2020/3/17,0
2020/3/18,0
2020/3/19,0
2020/3/20,0
2020/3/21,0
2020/3/22,9697
2020/3/23,0
2020/3/24,0
2020/3/25,0
2020/3/26,0
2020/3/27,0
2020/3/28,0
2020/3/29,22284
2020/3/30,0
2020/3/31,0
2020/4/1,0
2020/4/2,0
2020/4/3,0
2020/4/4,0
2020/4/5,36846
2020/4/6,0
2020/4/7,0
2020/4/8,0
2020/4/9,0
2020/4/10,0
2020/4/11,0
2020/4/12,47674
2020/4/13,0
2020/4/14,0
2020/4/15,0
2020/4/16,0
2020/4/17,0
2020/4/18,0
2020/4/19,49957
2020/4/20,0
2020/4/21,0
2020/4/22,0
2020/4/23,0
2020/4/24,0
2020/4/25,0
2020/4/26,44409
2020/4/27,0
2020/4/28,0
2020/4/29,0
2020/4/30,0
2020/5/1,0
2020/5/2,0
2020/5/3,41130
2020/5/4,0
2020/5/5,0
2020/5/6,0
2020/5/7,0
2020/5/8,0
2020/5/9,0
2020/5/10,38923
2020/5/11,0
2020/5/12,0
2020/5/13,0
2020/5/14,0
2020/5/15,0
2020/5/16,0
2020/5/17,36165
2020/5/18,0
2020/5/19,0
2020/5/20,0
2020/5/21,0
2020/5/22,0
2020/5/23,0
2020/5/24,34748
2020/5/25,0
2020/5/26,0
2020/5/27,0
2020/5/28,0
2020/5/29,0
2020/5/30,0
2020/5/31,33368
2020/6/1,0
2020/6/2,0
2020/6/3,0
2020/6/4,0
2020/6/5,0
2020/6/6,0
2020/6/7,34882
2020/6/8,0
2020/6/9,0
2020/6/10,0
2020/6/11,0
2020/6/12,0
2020/6/13,0
2020/6/14,35276
2020/6/15,0
2020/6/16,0
2020/6/17,0
