location,iso_code,date,people_fully_vaccinated
World,OWID_WRL,2020/12/2,0
World,OWID_WRL,2020/12/3,0
World,OWID_WRL,2020/12/4,0
World,OWID_WRL,2020/12/5,0
World,OWID_WRL,2020/12/6,0
World,OWID_WRL,2020/12/7,0
World,OWID_WRL,2020/12/8,0
World,OWID_WRL,2020/12/9,0
World,OWID_WRL,2020/12/10,0
World,OWID_WRL,2020/12/11,0
World,OWID_WRL,2020/12/12,0
World,OWID_WRL,2020/12/13,9669
World,OWID_WRL,2020/12/14,9833
World,OWID_WRL,2020/12/15,10161
World,OWID_WRL,2020/12/16,10679
World,OWID_WRL,2020/12/17,11505
World,OWID_WRL,2020/12/18,12831
World,OWID_WRL,2020/12/19,13994
World,OWID_WRL,2020/12/20,14817
World,OWID_WRL,2020/12/21,16491
World,OWID_WRL,2020/12/22,19508
World,OWID_WRL,2020/12/23,22774
World,OWID_WRL,2020/12/24,24022
World,OWID_WRL,2020/12/25,24160
World,OWID_WRL,2020/12/26,25230
World,OWID_WRL,2020/12/27,26045
World,OWID_WRL,2020/12/28,30543
World,OWID_WRL,2020/12/29,36076
World,OWID_WRL,2020/12/30,43813
World,OWID_WRL,2020/12/31,47384
World,OWID_WRL,2021/1/1,56752
World,OWID_WRL,2021/1/2,59874
World,OWID_WRL,2021/1/3,62473
World,OWID_WRL,2021/1/4,108225
World,OWID_WRL,2021/1/5,196872
World,OWID_WRL,2021/1/6,372368
World,OWID_WRL,2021/1/7,657591
World,OWID_WRL,2021/1/8,1027223
World,OWID_WRL,2021/1/9,1158568
World,OWID_WRL,2021/1/10,1875911
World,OWID_WRL,2021/1/11,2243133
World,OWID_WRL,2021/1/12,2614054
World,OWID_WRL,2021/1/13,2963037
World,OWID_WRL,2021/1/14,3183134
World,OWID_WRL,2021/1/15,3356989
World,OWID_WRL,2021/1/16,3461696
World,OWID_WRL,2021/1/17,3620392
World,OWID_WRL,2021/1/18,4016112
World,OWID_WRL,2021/1/19,4599087
World,OWID_WRL,2021/1/20,5297991
World,OWID_WRL,2021/1/21,5888757
World,OWID_WRL,2021/1/22,6324009
World,OWID_WRL,2021/1/23,6630719
World,OWID_WRL,2021/1/24,6966580
World,OWID_WRL,2021/1/25,7835812
World,OWID_WRL,2021/1/26,8835291
World,OWID_WRL,2021/1/27,9866702
World,OWID_WRL,2021/1/28,10903396
World,OWID_WRL,2021/1/29,11899034
World,OWID_WRL,2021/1/30,12412778
World,OWID_WRL,2021/1/31,12878434
World,OWID_WRL,2021/2/1,13874550
World,OWID_WRL,2021/2/2,15050337
World,OWID_WRL,2021/2/3,16467896
World,OWID_WRL,2021/2/4,17995832
World,OWID_WRL,2021/2/5,19596011
World,OWID_WRL,2021/2/6,20291179
World,OWID_WRL,2021/2/7,20845428
World,OWID_WRL,2021/2/8,21986829
World,OWID_WRL,2021/2/9,23443005
World,OWID_WRL,2021/2/10,25097589
World,OWID_WRL,2021/2/11,26889472
World,OWID_WRL,2021/2/12,29222537
World,OWID_WRL,2021/2/13,30226214
World,OWID_WRL,2021/2/14,30924321
World,OWID_WRL,2021/2/15,32177462
World,OWID_WRL,2021/2/16,33902848
World,OWID_WRL,2021/2/17,35860839
World,OWID_WRL,2021/2/18,37831962
World,OWID_WRL,2021/2/19,40381966
World,OWID_WRL,2021/2/20,41661011
World,OWID_WRL,2021/2/21,42472603
World,OWID_WRL,2021/2/22,44008575
World,OWID_WRL,2021/2/23,48143209
World,OWID_WRL,2021/2/24,50331196
World,OWID_WRL,2021/2/25,52876159
World,OWID_WRL,2021/2/26,55602839
World,OWID_WRL,2021/2/27,57172366
World,OWID_WRL,2021/2/28,57808684
World,OWID_WRL,2021/3/1,59372893
World,OWID_WRL,2021/3/2,62325096
World,OWID_WRL,2021/3/3,64838199
World,OWID_WRL,2021/3/4,67653448
World,OWID_WRL,2021/3/5,70451391
World,OWID_WRL,2021/3/6,72419599
World,OWID_WRL,2021/3/7,73173101
World,OWID_WRL,2021/3/8,75184346
World,OWID_WRL,2021/3/9,77577907
